sales_rep_id,rep_name,hire_date,department,territory,commission_rate,email
REP_027,Sarah Martinez,2020-09-11,Mid-Market,North America,0.14730105547524455,sarah.martinez@company.com
REP_028,Emily Johnson,2020-09-30,Mid-Market,Europe,0.08930977246667604,emily.johnson@company.com
REP_029,John Brown,2020-06-12,Direct Sales,North America,0.13920465551771133,john.brown@company.com
REP_030,David Johnson,2022-03-17,Direct Sales,North America,0.11311386259972629,david.johnson@company.com
REP_031,Emily Johnson,2021-12-19,Enterprise,Europe,0.12948113035416484,emily.johnson@company.com
REP_032,Robert Jones,2020-04-20,Enterprise,Latin America,0.1002637093105192,robert.jones@company.com
REP_033,Jessica Garcia,2021-01-26,Direct Sales,Latin America,-0.1,jessica.garcia@company.com
REP_034,Michael Garcia,2022-06-12,Mid-Market,Latin America,0.09925176938188639,michael.garcia@company.com
REP_035,Sarah Brown,2020-02-09,Mid-Market,Latin America,0.06952429877980446,sarah.brown@company.com
REP_036,David Johnson,2022-05-29,Enterprise,Latin America,0.12224521152615053,david.johnson@company.com
REP_037,Ashley Williams,2021-04-26,Direct Sales,Europe,0.07807723624408558,ashley.williams@company.com
REP_038,William Brown,2020-08-15,Enterprise,Europe,0.05243159664314539,william.brown@company.com
REP_039,Michael Davis,2020-07-23,Enterprise,Asia-Pacific,0.11454722959071678,michael.davis@company.com
REP_040,Robert Jones,2022-04-16,SMB,Latin America,0.06771106794070489,robert.jones@company.com
REP_041,William Brown,2022-07-29,SMB,Europe,0.14404585843529144,william.brown@company.com
REP_042,Sarah Smith,2021-04-16,SMB,Asia-Pacific,0.14539285770025873,sarah.smith@company.com
REP_043,Emily Smith,2020-12-24,Mid-Market,Latin America,0.14148643902204483,emily.smith@company.com
REP_044,Sarah Miller,2020-11-08,Direct Sales,North America,0.08701587002554444,sarah.miller@company.com
REP_045,David Johnson,2022-04-20,Direct Sales,Asia-Pacific,0.051545661652886744,david.johnson@company.com
REP_046,Emily Martinez,2022-03-25,Direct Sales,Europe,0.14283185625877254,emily.martinez@company.com
REP_047,Sarah Brown,2022-06-11,Direct Sales,North America,0.09281841483173142,sarah.brown@company.com
REP_048,Jessica Miller,2020-08-21,SMB,North America,0.14666548190436696,jessica.miller@company.com
REP_049,Jessica Williams,2020-08-16,Mid-Market,North America,0.14636199770892527,jessica.williams@company.com
REP_050,David Williams,2020-01-25,Mid-Market,Asia-Pacific,0.135300945546736,david.williams@company.com
REP_051,Emily Rodriguez,2021-11-06,SMB,Europe,0.07944488920695857,emily.rodriguez@company.com
REP_052,William Jones,2020-07-16,Mid-Market,North America,0.08850977286019253,william.jones@company.com
REP_053,Ashley Miller,2021-02-12,SMB,Latin America,0.13511366715168568,ashley.miller@company.com
REP_054,Ashley Miller,2020-12-02,Direct Sales,North America,0.08169220051562777,ashley.miller@company.com
REP_055,Sarah Brown,2020-10-12,SMB,North America,0.06694927466860925,sarah.brown@company.com
REP_056,Michael Rodriguez,2022-06-04,Direct Sales,Asia-Pacific,0.105680126245835,michael.rodriguez@company.com
REP_057,Jessica Johnson,2020-03-12,Direct Sales,Asia-Pacific,0.1436154774160781,jessica.johnson@company.com
REP_058,John Johnson,2022-09-17,Enterprise,Europe,0.11960297966749729,john.johnson@company.com
REP_059,Michael Williams,2022-03-02,SMB,Latin America,0.1070061170089365,michael.williams@company.com
REP_060,Robert Martinez,2020-10-12,Enterprise,Asia-Pacific,0.059717649377076854,robert.martinez@company.com
REP_061,Jane Miller,2020-12-25,SMB,North America,0.11150072266991698,jane.miller@company.com
REP_062,Robert Martinez,2021-10-18,SMB,Europe,0.14900538501042632,robert.martinez@company.com
REP_063,Jessica Rodriguez,2021-06-05,Enterprise,North America,0.0640084015236524,jessica.rodriguez@company.com
REP_064,David Rodriguez,2021-02-13,Enterprise,North America,0.10183296523637367,david.rodriguez@company.com
REP_065,John Johnson,2021-11-26,SMB,Asia-Pacific,0.13773730719279553,john.johnson@company.com
REP_066,William Jones,2022-05-13,Mid-Market,Europe,0.12407686177542045,william.jones@company.com
REP_067,Sarah Johnson,2021-07-03,Direct Sales,Latin America,0.1197015740995268,sarah.johnson@company.com
REP_068,David Miller,2020-12-05,Enterprise,Latin America,0.12024840839871093,david.miller@company.com
REP_069,Michael Davis,2022-08-19,Direct Sales,Asia-Pacific,0.08594911512197552,michael.davis@company.com
REP_070,John Jones,2020-01-29,Mid-Market,Asia-Pacific,0.07935918442644933,john.jones@company.com
REP_071,William Williams,2020-04-28,Mid-Market,Europe,0.13093611554785134,william.williams@company.com
REP_072,William Johnson,2022-06-17,Mid-Market,Latin America,0.13101133946791807,william.johnson@company.com
REP_073,David Rodriguez,2022-09-20,Enterprise,Latin America,0.13670723185801037,david.rodriguez@company.com
REP_074,Ashley Brown,2020-09-24,Mid-Market,Latin America,0.14132405525564712,ashley.brown@company.com
REP_075,Michael Garcia,2020-07-01,Enterprise,North America,1.5,michael.garcia@company.com
REP_076,Michael Rodriguez,2021-08-17,Mid-Market,Latin America,0.10015162946871996,michael.rodriguez@company.com
REP_077,William Smith,2022-09-12,Direct Sales,North America,0.12982951789667752,william.smith@company.com
REP_078,Ashley Garcia,2020-09-28,Direct Sales,Europe,1.5,ashley.garcia@company.com
REP_079,Jessica Smith,2020-02-09,SMB,North America,0.12019668772577033,jessica.smith@company.com
REP_080,Jane Garcia,2020-04-21,Direct Sales,Europe,0.1295792669436101,jane.garcia@company.com
REP_081,David Brown,2021-09-02,SMB,Latin America,0.13900053418175662,david.brown@company.com
REP_082,John Brown,2021-03-20,Direct Sales,Latin America,0.08379951568515358,john.brown@company.com
REP_083,Ashley Johnson,2020-12-19,Enterprise,Europe,1.5,ashley.johnson@company.com
REP_084,Jane Davis,2022-01-16,Direct Sales,Asia-Pacific,0.059398193984086904,jane.davis@company.com
REP_085,Jane Rodriguez,2022-03-16,SMB,Europe,0.1078280140996174,jane.rodriguez@company.com
REP_086,Michael Williams,2020-11-17,SMB,Asia-Pacific,0.05359422737967421,michael.williams@company.com
REP_087,Jessica Rodriguez,2021-03-22,Mid-Market,North America,0.09655980181324601,jessica.rodriguez@company.com
REP_088,Michael Jones,2021-09-12,Enterprise,North America,0.10426446347075766,michael.jones@company.com
REP_089,William Martinez,2021-06-07,Direct Sales,North America,0.07865412521282844,william.martinez@company.com
REP_090,Robert Brown,2020-04-28,Mid-Market,Latin America,0.10908332605690108,robert.brown@company.com
REP_091,William Brown,2021-01-29,Direct Sales,North America,0.053050024993904946,william.brown@company.com
REP_092,David Miller,2022-07-10,Direct Sales,Asia-Pacific,0.053734818874921444,david.miller@company.com
REP_093,Sarah Davis,2021-08-13,Mid-Market,North America,0.1322600560659658,sarah.davis@company.com
REP_094,William Davis,2020-07-13,Mid-Market,Europe,0.08601906414112628,william.davis@company.com
REP_095,Jane Brown,2020-09-17,Mid-Market,Europe,0.06270605126518848,jane.brown@company.com
REP_096,Emily Johnson,2020-02-15,Mid-Market,Latin America,0.10222432600548043,emily.johnson@company.com
REP_097,Sarah Smith,2021-12-26,Mid-Market,Europe,0.12699935530986106,sarah.smith@company.com
REP_098,Ashley Rodriguez,2021-03-22,Direct Sales,Asia-Pacific,0.07158210274968432,ashley.rodriguez@company.com
REP_099,Emily Martinez,2020-01-02,Mid-Market,North America,0.11228904758190003,emily.martinez@company.com
REP_100,Emily Smith,2021-06-16,Enterprise,Latin America,0.0585347464993768,emily.smith@company.com
REP_101,Jane Smith,2022-08-05,SMB,North America,0.05516817211686077,jane.smith@company.com
REP_102,Emily Johnson,2022-04-05,Mid-Market,North America,0.1031354631568148,emily.johnson@company.com
REP_103,John Garcia,2021-07-05,Mid-Market,Asia-Pacific,0.10406351216101065,john.garcia@company.com
REP_104,Jane Rodriguez,2021-12-04,Direct Sales,Europe,0.11374299014982066,jane.rodriguez@company.com
REP_105,Emily Jones,2022-01-06,Mid-Market,Europe,0.12260913337226616,emily.jones@company.com
REP_106,Jessica Brown,2022-08-20,Mid-Market,North America,1.5,jessica.brown@company.com
REP_107,William Williams,2022-01-29,Mid-Market,Latin America,0.10163003483011954,william.williams@company.com
REP_108,Ashley Martinez,2022-01-24,Direct Sales,Europe,0.0822956472941246,ashley.martinez@company.com
REP_109,Jessica Brown,2021-11-17,Mid-Market,Latin America,0.12951861947687038,jessica.brown@company.com
REP_110,Jessica Miller,2020-07-20,SMB,Europe,0.07708322512620742,jessica.miller@company.com
REP_111,Emily Johnson,2021-01-07,Direct Sales,Latin America,0.0938971420705636,emily.johnson@company.com
REP_112,Jane Miller,2021-03-17,SMB,Asia-Pacific,0.0578456381342266,jane.miller@company.com
REP_113,Sarah Miller,2020-03-12,Direct Sales,Latin America,0.05253507434154575,sarah.miller@company.com
REP_114,Robert Davis,2022-08-29,Mid-Market,Asia-Pacific,0.1462648414677925,robert.davis@company.com
REP_115,John Johnson,2021-11-11,SMB,Asia-Pacific,0.13359801205122057,john.johnson@company.com
REP_116,John Miller,2022-07-31,Direct Sales,Latin America,0.1195974206093698,john.miller@company.com
REP_117,Sarah Johnson,2020-12-04,Enterprise,Asia-Pacific,0.090895294441427,sarah.johnson@company.com
REP_118,Emily Brown,2021-09-30,Mid-Market,North America,0.06732943200708458,emily.brown@company.com
REP_119,Emily Rodriguez,2020-11-17,Direct Sales,Asia-Pacific,0.06564370426710861,emily.rodriguez@company.com
REP_120,Jessica Williams,2021-11-10,Enterprise,Europe,0.07502428981645953,jessica.williams@company.com
REP_121,Robert Williams,2022-05-18,Direct Sales,Latin America,0.10492266647061205,robert.williams@company.com
REP_122,David Davis,2020-05-07,Enterprise,North America,0.12145959227000623,david.davis@company.com
REP_123,Emily Johnson,2022-01-07,Mid-Market,Latin America,0.11601973767177312,emily.johnson@company.com
REP_124,Jessica Rodriguez,2022-07-10,SMB,Europe,0.07799338969459428,jessica.rodriguez@company.com
REP_125,Jane Smith,2020-11-03,Enterprise,Europe,0.1454865280663194,jane.smith@company.com
REP_126,William Smith,2021-06-03,Direct Sales,Europe,1.5,william.smith@company.com
REP_127,Jane Brown,2020-11-12,Mid-Market,Asia-Pacific,0.10543540525114006,jane.brown@company.com
REP_128,Michael Miller,2021-11-13,Enterprise,Asia-Pacific,0.11117207462343523,michael.miller@company.com
REP_129,Jessica Davis,2021-02-22,Direct Sales,Latin America,0.09196000624277899,jessica.davis@company.com
REP_130,Emily Miller,2020-11-30,Direct Sales,Latin America,0.07477309895011575,emily.miller@company.com
REP_131,John Williams,2021-02-16,Direct Sales,North America,0.08559726786512616,john.williams@company.com
REP_132,Robert Smith,2021-12-14,Enterprise,North America,0.1257846110464369,robert.smith@company.com
REP_133,Robert Jones,2020-10-29,Enterprise,Latin America,0.05143934886297559,robert.jones@company.com
REP_134,Jessica Jones,2021-07-21,Enterprise,Asia-Pacific,0.061607264050691626,jessica.jones@company.com
REP_135,Robert Rodriguez,2020-05-10,SMB,Europe,0.05460026420217528,robert.rodriguez@company.com
REP_136,Jessica Williams,2020-07-15,Enterprise,Latin America,0.05407288023189702,jessica.williams@company.com
REP_137,Emily Jones,2021-03-06,Enterprise,North America,0.13554605840110073,emily.jones@company.com
REP_138,Emily Smith,2021-11-11,Enterprise,Asia-Pacific,0.12036578593800236,emily.smith@company.com
REP_139,Ashley Rodriguez,2022-08-20,SMB,Latin America,0.09741738290873252,ashley.rodriguez@company.com
REP_140,John Garcia,2021-01-23,Enterprise,Latin America,0.05978341606510015,john.garcia@company.com
REP_141,John Smith,2021-11-24,Direct Sales,Asia-Pacific,0.09916158751168323,john.smith@company.com
REP_142,Ashley Davis,2022-02-05,Enterprise,Latin America,0.09734717707805657,ashley.davis@company.com
REP_143,William Rodriguez,2022-07-13,Direct Sales,Asia-Pacific,0.06732018699100152,william.rodriguez@company.com
REP_144,Michael Smith,2020-06-27,Direct Sales,Europe,0.09338516492379731,michael.smith@company.com
REP_145,William Johnson,2021-09-22,Direct Sales,Asia-Pacific,0.08985047343973734,william.johnson@company.com
REP_146,Michael Johnson,2021-08-05,SMB,Asia-Pacific,0.11158500980522165,michael.johnson@company.com
REP_147,Ashley Johnson,2020-11-04,SMB,Asia-Pacific,0.11350936508676437,ashley.johnson@company.com
REP_148,Emily Miller,2021-02-19,SMB,Latin America,0.054530400977204456,emily.miller@company.com
REP_149,Jane Martinez,2021-07-15,Enterprise,Latin America,0.08746126146264713,jane.martinez@company.com
REP_150,Emily Martinez,2022-05-03,Direct Sales,Asia-Pacific,-0.1,emily.martinez@company.com
REP_151,Ashley Smith,2020-01-01,SMB,Latin America,0.10031362585800876,ashley.smith@company.com
REP_152,Ashley Johnson,2020-11-07,SMB,North America,0.13564898411883222,ashley.johnson@company.com
REP_153,Robert Martinez,2020-10-20,Enterprise,North America,0.1158693631618945,robert.martinez@company.com
REP_154,Ashley Rodriguez,2020-08-03,SMB,Latin America,0.06629344270814297,ashley.rodriguez@company.com
REP_155,Sarah Jones,2021-03-16,Enterprise,Latin America,0.057056874740042986,sarah.jones@company.com
REP_156,Emily Garcia,2022-03-15,Mid-Market,Asia-Pacific,0.11424192782063156,emily.garcia@company.com
REP_157,Emily Jones,2021-08-16,SMB,Europe,0.052651131054162185,emily.jones@company.com
REP_158,Robert Williams,2021-09-13,Mid-Market,Latin America,0.10857755812734632,robert.williams@company.com
REP_159,David Davis,2021-11-01,Enterprise,North America,0.14402302414249574,david.davis@company.com
REP_160,Sarah Johnson,2020-11-25,Direct Sales,Asia-Pacific,0.10754741778758789,sarah.johnson@company.com
REP_161,John Davis,2021-04-21,SMB,Latin America,-0.1,john.davis@company.com
REP_162,Ashley Martinez,2021-03-28,Enterprise,North America,0.11432882184423532,ashley.martinez@company.com
REP_163,Jane Johnson,2021-03-28,Direct Sales,North America,0.09582528904915166,jane.johnson@company.com
REP_164,William Brown,2021-11-22,Direct Sales,Europe,0.10456167893159349,william.brown@company.com
REP_165,William Jones,2020-08-06,Mid-Market,Asia-Pacific,0.14414648087765253,william.jones@company.com
REP_166,Michael Garcia,2021-06-07,Enterprise,Asia-Pacific,0.08861026378007743,michael.garcia@company.com
REP_167,Jane Brown,2021-04-29,Direct Sales,Europe,0.14611905638239142,jane.brown@company.com
REP_168,Sarah Jones,2022-03-23,SMB,Europe,0.14053506419560635,sarah.jones@company.com
REP_169,Michael Davis,2022-07-11,SMB,Asia-Pacific,0.06957911347892964,michael.davis@company.com
REP_170,William Jones,2022-09-09,Mid-Market,Asia-Pacific,0.05693613008751655,william.jones@company.com
REP_171,Ashley Rodriguez,2022-03-26,Direct Sales,Latin America,0.060077800137742665,ashley.rodriguez@company.com
REP_172,John Rodriguez,2022-01-23,Enterprise,Latin America,0.05182218256515497,john.rodriguez@company.com
REP_173,David Johnson,2020-06-22,SMB,Europe,0.059444296075592845,david.johnson@company.com
REP_174,Michael Jones,2021-11-05,Direct Sales,Latin America,1.5,michael.jones@company.com
REP_175,Jane Johnson,2020-03-27,Direct Sales,North America,0.0571188648460229,jane.johnson@company.com
REP_176,William Williams,2020-10-17,Mid-Market,Latin America,0.08189756302937613,william.williams@company.com
REP_177,David Jones,2021-06-11,SMB,Latin America,0.13448753109694545,david.jones@company.com
REP_178,Ashley Brown,2021-11-10,SMB,North America,0.05232719357358259,ashley.brown@company.com
REP_179,Sarah Brown,2021-10-10,Enterprise,Europe,0.13144684825889358,sarah.brown@company.com
REP_180,David Rodriguez,2021-09-26,SMB,North America,0.07818547747733999,david.rodriguez@company.com
REP_181,Jessica Jones,2020-12-09,Enterprise,Latin America,0.06181648276216563,jessica.jones@company.com
REP_182,John Johnson,2020-04-05,SMB,Europe,0.11967371653641506,john.johnson@company.com
REP_183,Robert Jones,2022-04-18,Mid-Market,Latin America,0.1128942846779884,robert.jones@company.com
REP_184,John Smith,2022-09-01,SMB,North America,0.1377472013527053,john.smith@company.com
REP_185,Sarah Williams,2022-02-08,Enterprise,North America,0.12350710438038857,sarah.williams@company.com
REP_186,David Williams,2020-08-28,Enterprise,Latin America,0.13034809303848485,david.williams@company.com
REP_187,Jessica Rodriguez,2021-11-19,Mid-Market,Asia-Pacific,0.07820345725713065,jessica.rodriguez@company.com
REP_188,Robert Rodriguez,2020-11-13,SMB,Asia-Pacific,0.06774395437797229,robert.rodriguez@company.com
REP_189,John Johnson,2020-08-18,SMB,North America,0.12506147516408583,john.johnson@company.com
REP_190,Jane Williams,2022-04-05,Mid-Market,North America,0.1306834739267264,jane.williams@company.com
REP_191,William Smith,2020-07-22,SMB,Asia-Pacific,0.14905051420006732,william.smith@company.com
REP_192,Sarah Martinez,2020-05-30,SMB,Asia-Pacific,0.09126176769114265,sarah.martinez@company.com
REP_193,William Williams,2020-01-26,Enterprise,Latin America,0.08720180857927831,william.williams@company.com
REP_194,Robert Williams,2020-02-17,SMB,Latin America,0.12764129607419966,robert.williams@company.com
REP_195,John Jones,2020-09-07,SMB,Asia-Pacific,0.08408035402530178,john.jones@company.com
REP_196,Sarah Smith,2021-05-01,Mid-Market,Latin America,0.14307573256035647,sarah.smith@company.com
REP_197,Sarah Brown,2021-09-17,Mid-Market,Latin America,1.5,sarah.brown@company.com
REP_198,Emily Johnson,2022-05-20,Direct Sales,Europe,0.09289940273750183,emily.johnson@company.com
REP_199,Sarah Rodriguez,2022-02-25,Enterprise,Latin America,0.12508710677914975,sarah.rodriguez@company.com
REP_200,Robert Martinez,2020-03-15,SMB,North America,0.12545428740846823,robert.martinez@company.com
